track_id,track_name,artists,track_genre,popularity,tempo,energy,valence,danceability,tags,lyric_sentiment_score,Url_youtube
5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,acoustic,73,87.917,0.461,0.715,0.676,,0.0,
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,acoustic,55,77.489,0.166,0.267,0.42,,0.0,
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,Ingrid Michaelson;ZAYN,acoustic,57,76.332,0.359,0.12,0.438,,0.0,
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Kina Grannis,acoustic,71,181.74,0.0596,0.143,0.266,,0.4767,https://www.youtube.com/watch?v=vGJTaP6anOU
5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,acoustic,82,119.949,0.443,0.167,0.618,,-0.1779,https://www.youtube.com/watch?v=Xikm2YS_7xM
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,acoustic,58,98.017,0.481,0.666,0.688,,0.0,
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World;Christina Aguilera,acoustic,74,141.284,0.147,0.0765,0.407,,0.34,https://www.youtube.com/watch?v=-2U0Ivkn2Ds
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World;Christina Aguilera,acoustic,74,141.284,0.147,0.0765,0.407,,0.34,https://www.youtube.com/watch?v=igFtut_1drQ
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,acoustic,80,150.96,0.444,0.712,0.703,,0.2732,https://www.youtube.com/watch?v=EkHTsc9PU2A
0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz;Colbie Caillat,acoustic,74,130.088,0.414,0.669,0.625,,0.0,https://www.youtube.com/watch?v=acvIVA9-FMQ
7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,acoustic,56,78.899,0.632,0.196,0.442,,0.0,
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,acoustic,74,99.905,0.363,0.301,0.627,,0.0,https://www.youtube.com/watch?v=BKenhu5Nph4
5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,Jason Mraz,acoustic,69,133.406,0.303,0.139,0.483,,0.0,https://www.youtube.com/watch?v=O1-4u9W-bns
4ptDJbJl35d7gQfeNteBwp,Solo,Dan Berk,acoustic,52,124.234,0.314,0.607,0.489,,0.0382,https://www.youtube.com/watch?v=xC0pF72qmIw
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Anna Hamilton,acoustic,62,87.103,0.234,0.209,0.691,,0.0258,https://www.youtube.com/watch?v=I-QfPUz1es8
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,Chord Overstreet;Deepend,acoustic,56,120.004,0.78,0.387,0.755,,0.34,
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,acoustic,58,83.457,0.561,0.238,0.489,"singer_songwriter, chillout, acoustic, love, beautiful, mellow, chill",-0.1531,
6xKeQgzfjixSUld14qUezm,ily (i love you baby),Andrew Foy;Renee Foy,acoustic,56,110.154,0.112,0.414,0.706,,0.7574,
4Yo0igmcoNyat1secaH0OD,At My Worst,Andrew Foy;Renee Foy,acoustic,54,91.803,0.0841,0.609,0.795,,0.0,
2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz;Colbie Caillat,acoustic,68,130.088,0.414,0.669,0.625,,0.0,https://www.youtube.com/watch?v=acvIVA9-FMQ
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,Boyce Avenue;Bea Miller,acoustic,67,107.946,0.32,0.322,0.717,,0.128,https://www.youtube.com/watch?v=T3rXdeOvhNE
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,acoustic,75,150.96,0.444,0.712,0.703,,0.2732,https://www.youtube.com/watch?v=EkHTsc9PU2A
210JCw2LbYD4YIs8GiZ9iP,Demons,Boyce Avenue;Jennel Garcia,acoustic,63,90.032,0.351,0.569,0.678,,0.0,https://www.youtube.com/watch?v=9DLtzc9KLiw
5TvE3pk05pyFIGdSY9j4DJ,Say Something,A Great Big World;Christina Aguilera,acoustic,70,141.284,0.147,0.0765,0.407,,0.34,https://www.youtube.com/watch?v=-2U0Ivkn2Ds
5TvE3pk05pyFIGdSY9j4DJ,Say Something,A Great Big World;Christina Aguilera,acoustic,70,141.284,0.147,0.0765,0.407,,0.34,https://www.youtube.com/watch?v=igFtut_1drQ
0BUuuEvNa5T4lMaewyiudB,93 Million Miles,Jason Mraz,acoustic,0,140.182,0.454,0.515,0.572,,0.0,https://www.youtube.com/watch?v=bcQwIxRcaYs
3Hn3LfhrQOaKihdCibJsTs,Unlonely,Jason Mraz,acoustic,0,97.988,0.667,0.754,0.796,,0.6369,
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,Jason Mraz,acoustic,1,120.06,0.454,0.33,0.755,,0.0,
0dzKBptH2P5j5a0MifBMwM,If It Kills Me,Jason Mraz,acoustic,0,143.793,0.429,0.52,0.633,,0.0,
